,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Coventry, England, United Kingdom",2006-01-01,7.3,4.8,6,4.2,1.8,2.9,3.6,84.6,0.523,100,8.33,rain,,0,,22.8,312.5,1003.1,80.8,32.6,,,,,2006-01-01T08:16:23,2006-01-01T16:02:57,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03529099999,03647099999,03535099999,03534099999,03544099999"
1,"Coventry, England, United Kingdom",2006-01-02,5.8,-0.2,3.7,5.8,-0.2,3.5,2.5,91.5,0.161,100,4.17,rain,,0,,7.5,234.4,1023.5,75.1,12.5,,,,,2006-01-02T08:16:14,2006-01-02T16:04:03,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03529099999,03647099999,03535099999,03534099999,03544099999"
2,"Coventry, England, United Kingdom",2006-01-03,8.8,4.3,6.8,8.7,1.7,5.3,6,94.3,0.313,100,8.33,rain,,0,,11.3,222.2,1027.2,80.4,8,,,,,2006-01-03T08:16:02,2006-01-03T16:05:12,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03647099999,03535099999,03534099999,03544099999"
3,"Coventry, England, United Kingdom",2006-01-04,5.9,1.3,4.6,3.6,-0.4,2.4,3.4,91.7,0.119,100,4.17,rain,,0,,14.4,44.4,1030.4,77,10,,,,,2006-01-04T08:15:46,2006-01-04T16:06:24,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03529099999,03647099999,03535099999,03534099999,03544099999"
4,"Coventry, England, United Kingdom",2006-01-05,2.5,1,1.7,2.3,-2.8,-1,-0.2,87.3,0.276,100,4.17,rain,,,,15.3,82.7,1022.3,85,10.6,,,,,2006-01-05T08:15:26,2006-01-05T16:07:38,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03529099999,03647099999,03535099999,03534099999,03544099999"
5,"Coventry, England, United Kingdom",2006-01-06,2.3,1,1.7,2,-1.8,0,0.6,92.5,0.012,100,4.17,"rain,snow",,0,,8.8,37.9,1022.3,89.3,5.4,,,,,2006-01-06T08:15:04,2006-01-06T16:08:55,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"03529099999,03647099999,03535099999,03534099999,03544099999"
6,"Coventry, England, United Kingdom",2006-01-07,1.9,0.7,1.3,1.9,-1.4,1,0.6,95.1,0.651,100,12.5,"rain,snow",,0,,7.7,73.9,1024.6,88.2,3.4,,,,,2006-01-07T08:14:38,2006-01-07T16:10:14,0.26,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03529099999,03647099999,03535099999,03534099999,03544099999"
7,"Coventry, England, United Kingdom",2006-01-08,3.7,0.9,2.4,1.3,-0.8,0,1.2,91.6,0.012,100,4.17,rain,,0,,13.8,50.2,1025.6,85.4,5.1,,,,,2006-01-08T08:14:08,2006-01-08T16:11:35,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03529099999,03647099999,03535099999,03534099999,03544099999"
8,"Coventry, England, United Kingdom",2006-01-09,5.4,2.8,4.1,3.6,-0.5,1.5,3.2,93.4,0.615,100,8.33,rain,,0,,18.1,151.9,1024.9,83.7,4.1,,,,,2006-01-09T08:13:36,2006-01-09T16:12:59,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03529099999,03647099999,03535099999,03534099999,03544099999"
9,"Coventry, England, United Kingdom",2006-01-10,9.3,4.6,7,5.7,0.7,3.3,5.1,87.7,1.316,100,8.33,rain,,0,57.6,29.9,197.5,1018.4,87.9,15.5,,,,,2006-01-10T08:13:00,2006-01-10T16:14:25,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03529099999,03647099999,03535099999,03534099999,03544099999"
