,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Coventry, England, United Kingdom",2015-01-01,12.3,6.7,10.3,12.3,3.6,9.2,8.8,90.4,0.484,100,16.67,rain,0,0.1,57.4,30.8,199.6,1022.5,88.3,15.3,9.9,0.9,1,,2015-01-01T08:16:21,2015-01-01T16:02:48,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
1,"Coventry, England, United Kingdom",2015-01-02,12.7,3.1,7.1,12.7,0.6,4.4,1.4,67.8,0.985,100,4.17,rain,0,0,56.5,29.5,255.7,1027.1,48.7,22.4,45,3.8,2,,2015-01-02T08:16:13,2015-01-02T16:03:53,0.4,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
2,"Coventry, England, United Kingdom",2015-01-03,5,1.5,3.2,2.1,-1.1,0.3,2.1,93,5.98,100,8.33,rain,0,0,44.6,16.5,266.1,1023.7,79.6,9.4,8.1,0.7,0,,2015-01-03T08:16:01,2015-01-03T16:05:01,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
3,"Coventry, England, United Kingdom",2015-01-04,2.3,-2.5,0,0.8,-3.5,-1.5,-0.1,99.3,0.2,100,8.33,"rain,snow",0,0,27.7,11.8,174.5,1034.2,60.8,2.6,41.8,3.6,2,,2015-01-04T08:15:46,2015-01-04T16:06:12,0.48,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
4,"Coventry, England, United Kingdom",2015-01-05,8.2,3,6,6.7,0.6,4,5,93.6,0,0,0,,0,0,31.7,12.1,181.7,1027.1,94,10,15,1.3,1,,2015-01-05T08:15:27,2015-01-05T16:07:26,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
5,"Coventry, England, United Kingdom",2015-01-06,8.9,2.6,6.2,6.7,0.4,3.6,4.3,87.8,0.804,100,8.33,rain,0,0,48.2,23.2,218.3,1019.5,81.8,19.7,25.3,2.2,1,,2015-01-06T08:15:05,2015-01-06T16:08:42,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
6,"Coventry, England, United Kingdom",2015-01-07,9.8,3.4,6.3,7,0.6,3,4.2,86.7,0.403,100,4.17,rain,0,0,57.7,26.4,197.5,1019.6,74,20.3,14.9,1.4,1,,2015-01-07T08:14:40,2015-01-07T16:10:01,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
7,"Coventry, England, United Kingdom",2015-01-08,10.4,5.5,7.9,10.4,2.6,5.8,4.8,81.3,3.135,100,8.33,rain,0,0,48.2,22,231.2,1018.6,68.3,20.6,26.1,2.2,2,,2015-01-08T08:14:11,2015-01-08T16:11:22,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
8,"Coventry, England, United Kingdom",2015-01-09,14.8,7,11.1,14.8,3.3,9.9,7.5,79.1,0.121,100,8.33,rain,0,0,65.7,34.4,237,1014.3,74.4,25.2,28.6,2.4,2,,2015-01-09T08:13:39,2015-01-09T16:12:45,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
9,"Coventry, England, United Kingdom",2015-01-10,13.1,3.3,8.5,13.1,-0.7,6.1,3.3,70.5,1.393,100,4.17,rain,0,0,78.2,40,256,1011.8,63,23.9,40.6,3.3,2,,2015-01-10T08:13:03,2015-01-10T16:14:11,0.67,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
10,"Coventry, England, United Kingdom",2015-01-11,7.7,2.9,5.5,4.6,-1.7,1.9,0.9,72.3,0,0,0,,0,0,54.7,24.9,246.9,1019.2,56.1,18.5,28.8,2.6,2,,2015-01-11T08:12:25,2015-01-11T16:15:39,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
11,"Coventry, England, United Kingdom",2015-01-12,10.3,5.7,8,10.3,3.8,5.6,6.1,87.8,4.954,100,16.67,rain,0,0,58.5,27.2,218.9,1006.3,86.1,14.4,13.5,1.2,1,,2015-01-12T08:11:43,2015-01-12T16:17:08,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
12,"Coventry, England, United Kingdom",2015-01-13,8.2,1.3,4.5,6.1,-3.1,1.7,2.6,88,6.272,100,12.5,rain,0,0.1,59.4,18.3,222.8,1000.3,68.9,21.2,30,2.6,1,,2015-01-13T08:10:58,2015-01-13T16:18:40,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
13,"Coventry, England, United Kingdom",2015-01-14,8.6,0.7,3.4,4.6,-3.4,-0.7,1.1,85.5,3.35,100,12.5,"rain,snow",0,0.2,58.7,32,195.5,1000.1,61.2,20.7,46,4.1,3,,2015-01-14T08:10:10,2015-01-14T16:20:13,0.8,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
14,"Coventry, England, United Kingdom",2015-01-15,10.4,3.4,6,10.4,-1.2,2.1,2.7,79.4,2.851,100,16.67,rain,0,0.5,65.8,36.1,212.2,985.9,60.5,17.6,29.3,2.5,1,,2015-01-15T08:09:19,2015-01-15T16:21:49,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
15,"Coventry, England, United Kingdom",2015-01-16,5.9,0,3.2,2.9,-2.9,0,0.1,80.2,0.908,100,8.33,rain,0,0,57.6,20.3,251,1002.9,46.2,22.5,43.7,3.8,2,,2015-01-16T08:08:25,2015-01-16T16:23:26,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
16,"Coventry, England, United Kingdom",2015-01-17,4.8,-0.1,1.9,2,-3.8,-1.3,-0.5,84,0.12,100,4.17,rain,0,0.4,41.8,15.4,212.5,1010.5,50.9,18.6,26.8,2.2,1,,2015-01-17T08:07:28,2015-01-17T16:25:04,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
17,"Coventry, England, United Kingdom",2015-01-18,3.9,-0.8,1.4,1.1,-2.9,-1.3,0.2,92,0.46,100,16.67,"rain,snow",0,0.3,30.2,17.9,313.4,1012.3,62.8,10.6,49.8,4.5,3,,2015-01-18T08:06:28,2015-01-18T16:26:44,0.93,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
18,"Coventry, England, United Kingdom",2015-01-19,2.6,-1.8,0.4,1.7,-5,-1.7,-2.3,82.4,0.239,100,4.17,"rain,snow",0,0.2,26.3,13.2,287.2,1014.1,66.4,18.2,48.4,4.1,2,,2015-01-19T08:05:25,2015-01-19T16:28:25,0.97,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning snow or rain.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
19,"Coventry, England, United Kingdom",2015-01-20,2.6,-3.8,-0.5,-1.1,-5.8,-3.1,-2.2,88.9,0.12,100,8.33,"rain,snow",0,0.2,48.2,20.9,137.1,1008.7,57.6,11.1,49.5,4.4,2,,2015-01-20T08:04:19,2015-01-20T16:30:08,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
20,"Coventry, England, United Kingdom",2015-01-21,3,0.9,2.4,0.2,-4,-1.2,1.6,94.8,1.716,100,8.33,"rain,snow",0.3,0.4,47.1,21.1,127.8,1006.5,97.8,6.1,22.8,2,1,,2015-01-21T08:03:11,2015-01-21T16:31:52,0.03,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
21,"Coventry, England, United Kingdom",2015-01-22,3.3,-2.9,0.6,2,-2.9,-0.4,-0.9,90,0.018,100,4.17,"rain,snow",0,0,16.9,8.7,58.5,1020.7,70.2,5,45.8,3.8,2,,2015-01-22T08:02:00,2015-01-22T16:33:37,0.07,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
22,"Coventry, England, United Kingdom",2015-01-23,6.6,-3.8,1,3.5,-6.4,-2,-0.5,90.1,0.088,100,4.17,"rain,snow",0,0.4,48.2,20.4,188.8,1022,48.2,5.8,53.6,4.5,3,,2015-01-23T08:00:47,2015-01-23T16:35:23,0.1,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain or snow.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
23,"Coventry, England, United Kingdom",2015-01-24,6.2,1.9,4.1,3,-1.7,0.7,0.2,76.4,0.562,100,4.17,rain,0,0,53.6,24.2,288.2,1025.7,56.9,15.7,61.4,5.4,3,,2015-01-24T07:59:30,2015-01-24T16:37:10,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
24,"Coventry, England, United Kingdom",2015-01-25,8.3,1,5,5.8,-1.8,2.4,2.9,86.7,0,0,0,,0,0,42.1,16.3,219.3,1028.2,72.5,13,47.7,4,3,,2015-01-25T07:58:12,2015-01-25T16:38:58,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
25,"Coventry, England, United Kingdom",2015-01-26,8.6,4.4,7,6.4,1,4,4.2,83,0.579,100,8.33,rain,0,0,49.7,25.2,285.4,1023.7,71.6,16.8,41.6,3.6,2,,2015-01-26T07:56:51,2015-01-26T16:40:47,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
