,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Coventry, England, United Kingdom",1989-01-01,6.4,5.1,5.7,6,3.3,4.8,1.5,74.8,0,0,0,,,,,11.4,190,1038.4,94.7,13.4,,,,,1989-01-01T08:16:25,1989-01-01T16:03:07,0.8,Overcast,Cloudy skies throughout the day.,cloudy,"03529099999,03647099999,03354099999,03534099999,03560099999,03544099999"
1,"Coventry, England, United Kingdom",1989-01-02,6,3,5,5.2,0.7,3.5,1.5,78.1,0,0,0,,,,,13.6,139,1035.3,95.5,9.1,,,,,1989-01-02T08:16:16,1989-01-02T16:04:14,0.83,Overcast,Cloudy skies throughout the day.,cloudy,"03529099999,03647099999,03354099999,03534099999,03560099999,03544099999"
2,"Coventry, England, United Kingdom",1989-01-03,6.1,3.9,4.8,2.6,1.2,1.8,2.2,83.2,0.008,100,4.17,rain,,,,25.1,172.1,1027.4,98.2,7.2,,,,,1989-01-03T08:16:03,1989-01-03T16:05:23,0.86,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"03529099999,03647099999,03354099999,03534099999,03649099999,03560099999,03544099999"
3,"Coventry, England, United Kingdom",1989-01-04,8.7,2.7,6.5,5.5,-0.8,3,3.5,81.4,0.455,100,4.17,rain,,,,28.9,216,1022.3,45.6,19.9,,,,,1989-01-04T08:15:47,1989-01-04T16:06:35,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03529099999,03647099999,03354099999,03534099999,03560099999,03544099999"
4,"Coventry, England, United Kingdom",1989-01-05,9.5,1.1,5.1,7.4,-2,1.7,3.4,89,0.011,100,4.17,rain,,,,23.5,220.1,1020.7,66.3,15.3,,,,,1989-01-05T08:15:27,1989-01-05T16:07:50,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03529099999,03647099999,03354099999,03534099999,03649099999,03560099999,03544099999"
5,"Coventry, England, United Kingdom",1989-01-06,9,4.9,7.5,7.7,2.4,5.6,6.2,91.5,0.505,100,8.33,rain,,,,15.4,303.4,1015.1,76.4,11.5,,,,,1989-01-06T08:15:04,1989-01-06T16:09:07,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03647099999,03354099999,03534099999,03560099999,03544099999"
6,"Coventry, England, United Kingdom",1989-01-07,11.1,8.2,9.6,11.1,5.7,8.3,7.9,89.3,0.253,100,4.17,rain,,,,17.6,277.9,1024.3,90,11.9,,,,,1989-01-07T08:14:38,1989-01-07T16:10:26,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03529099999,03647099999,03354099999,03534099999,03649099999,03560099999,03544099999"
7,"Coventry, England, United Kingdom",1989-01-08,9.8,8.4,9,7.9,6.4,7.1,7.8,92.5,0,0,0,,,,,16.4,230.6,1021.3,96.5,10.7,,,,,1989-01-08T08:14:08,1989-01-08T16:11:48,0.02,Overcast,Cloudy skies throughout the day.,cloudy,"03529099999,03647099999,03354099999,03534099999,03560099999,03544099999"
8,"Coventry, England, United Kingdom",1989-01-09,10.4,6.9,8.8,10.4,5.2,6.9,7,88.4,0.011,100,4.17,rain,,,,26.3,226.7,1012.9,91.4,13.6,,,,,1989-01-09T08:13:35,1989-01-09T16:13:12,0.06,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"03529099999,03647099999,03354099999,03534099999,03649099999,03560099999,03544099999"
9,"Coventry, England, United Kingdom",1989-01-10,6.8,1,3.8,4.6,-2.5,1.4,1.4,85.1,0.968,100,8.33,rain,,,,18.3,256.3,1020.2,32.7,19.4,,,,,1989-01-10T08:12:58,1989-01-10T16:14:38,0.1,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"03529099999,03647099999,03354099999,03534099999,03649099999,03560099999,03544099999"
10,"Coventry, England, United Kingdom",1989-01-11,8,0.5,4,4.7,-3.2,0.2,1.3,83.1,0.264,100,4.17,rain,,,,26.1,194.1,1017.1,61.2,29.1,,,,,1989-01-11T08:12:19,1989-01-11T16:16:07,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03529099999,03462099999,03647099999,03354099999,03534099999,03649099999,03560099999,03544099999"
11,"Coventry, England, United Kingdom",1989-01-12,9.1,2.1,6.6,6.1,-1.3,3.5,3.8,82.5,5.127,100,8.33,rain,,,,27.4,229.4,1011.4,57.3,23.9,,,,,1989-01-12T08:11:36,1989-01-12T16:17:37,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03462099999,03647099999,03354099999,03534099999,03649099999,03560099999,03544099999"
12,"Coventry, England, United Kingdom",1989-01-13,11.6,1.2,6.3,11.6,-1.7,4,4.3,87.3,0.019,100,4.17,rain,,,,33.7,195.6,1022.2,77,17.9,,,,,1989-01-13T08:10:50,1989-01-13T16:19:09,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03529099999,03647099999,03354099999,03534099999,03649099999,03560099999,03544099999"
13,"Coventry, England, United Kingdom",1989-01-14,12.1,4.9,7.3,12.1,0.7,4.1,3.9,79.2,0.046,100,4.17,rain,,,,33.2,231.8,1025.6,55.8,31.3,,,,,1989-01-14T08:10:01,1989-01-14T16:20:43,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03529099999,03647099999,03354099999,03534099999,03560099999,03544099999"
