,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Coventry, England, United Kingdom",1995-01-01,2.4,-1.5,-0.2,-2.5,-7.5,-5.2,-3.4,79.2,0.007,100,4.17,rain,,,,26.4,311.6,1011.2,35.1,31.7,,,,,1995-01-01T08:16:25,1995-01-01T16:02:39,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03529099999,03462099999,03354099999,03534099999,03649099999,03560099999,03544099999"
1,"Coventry, England, United Kingdom",1995-01-02,1.4,-2.8,-1.1,-2.4,-8.3,-5.8,-3.7,82.5,0,0,0,,,,,30.6,326.5,1026.6,8.8,47.7,,,,,1995-01-02T08:16:17,1995-01-02T16:03:44,0.03,Clear,Clear conditions throughout the day.,clear-day,"03529099999,03354099999,03534099999,03649099999,03560099999,03544099999"
2,"Coventry, England, United Kingdom",1995-01-03,2.2,-6.3,-2.2,-0.5,-6.3,-4,-3.6,90.1,0,0,0,,,,,13.6,156.7,1030.9,34.4,13.2,,,,,1995-01-03T08:16:06,1995-01-03T16:04:52,0.07,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03529099999,03354099999,03534099999,03649099999,03560099999,03544099999"
3,"Coventry, England, United Kingdom",1995-01-04,4.2,-1.2,2.5,0.4,-5.7,-2.1,-0.8,79.5,0.035,100,4.17,rain,,1,,25.8,164.7,1023.7,96.3,13.4,,,,,1995-01-04T08:15:51,1995-01-04T16:06:03,0.1,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"03529099999,03354099999,03534099999,03649099999,03560099999,03544099999"
4,"Coventry, England, United Kingdom",1995-01-05,5.1,2.7,3.8,2.3,-1.7,-0.2,2.7,92.6,3.723,100,8.33,rain,,,,26.8,182,1014.4,86.7,6.2,,,,,1995-01-05T08:15:33,1995-01-05T16:07:16,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03462099999,03418599999,03354099999,03534099999,03649099999,03560099999,03544099999"
5,"Coventry, England, United Kingdom",1995-01-06,6.8,1.3,4.1,3.5,-1.1,1.2,1.9,85.8,0.092,100,8.33,rain,,0,,22.1,299.8,1021.1,54.6,15.2,,,,,1995-01-06T08:15:12,1995-01-06T16:08:32,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03462099999,03354099999,03534099999,03649099999,03560099999,03544099999"
6,"Coventry, England, United Kingdom",1995-01-07,8.2,-1.4,4,6.5,-1.6,2.5,2.6,90.7,0.088,100,4.17,rain,,0,,14.4,220.6,1033.1,77.1,9.9,,,,,1995-01-07T08:14:47,1995-01-07T16:09:50,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03529099999,03462099999,03418599999,03354099999,03534099999,03649099999,03560099999,03544099999"
7,"Coventry, England, United Kingdom",1995-01-08,9.4,3.2,7,7.8,0.7,4.5,4.1,82.5,0.531,100,4.17,rain,,,,24.9,285,1029.4,84.4,24,,,,,1995-01-08T08:14:18,1995-01-08T16:11:11,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03529099999,03354099999,03534099999,03649099999,03560099999,03544099999"
8,"Coventry, England, United Kingdom",1995-01-09,10.1,3.4,6.8,10.1,0.3,3.5,3.2,78.2,0.003,100,4.17,rain,,0,,46.4,260.7,1024.4,84.6,21.2,,,,,1995-01-09T08:13:47,1995-01-09T16:12:34,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03529099999,03418599999,03354099999,03534099999,03649099999,03560099999,03544099999"
9,"Coventry, England, United Kingdom",1995-01-10,11.1,5.8,8.2,11.1,1.7,5.5,4.1,75.7,0,0,0,,,0,,39.5,284.2,1012.7,82.4,16.6,,,,,1995-01-10T08:13:12,1995-01-10T16:13:59,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03462099999,03418599999,03354099999,03534099999,03649099999,03560099999,03544099999"
10,"Coventry, England, United Kingdom",1995-01-11,5.1,0,2.3,1.4,-4.7,-1.5,-1.9,74.8,3.883,100,4.17,rain,,,,19.8,335.9,1020,44.3,41,,,,,1995-01-11T08:12:34,1995-01-11T16:15:27,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03529099999,03354099999,03534099999,03649099999,03560099999,03544099999"
11,"Coventry, England, United Kingdom",1995-01-12,4.1,-0.5,1.2,0.9,-5.2,-2.7,-3.4,72,0,0,0,,,0,,24.9,316.4,1034.3,52,32.4,,,,,1995-01-12T08:11:52,1995-01-12T16:16:56,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03462099999,03418599999,03354099999,03534099999,03649099999,03560099999,03544099999"
12,"Coventry, England, United Kingdom",1995-01-13,7.3,0.8,4.4,6.5,-2.1,2,2,84.5,0,0,0,,,0,,13.6,235.1,1035.4,91.2,14,,,,,1995-01-13T08:11:08,1995-01-13T16:18:27,0.39,Overcast,Cloudy skies throughout the day.,cloudy,"03529099999,03354099999,03534099999,03649099999,03560099999,03544099999"
13,"Coventry, England, United Kingdom",1995-01-14,9.1,5.5,7.5,6.6,2.6,4.9,5.7,88.6,0.003,100,4.17,rain,,,,22.1,220.3,1026.3,91.2,11.2,,,,,1995-01-14T08:10:20,1995-01-14T16:20:01,0.42,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"03529099999,03462099999,03354099999,03534099999,03649099999,03560099999,03544099999"
14,"Coventry, England, United Kingdom",1995-01-15,9.8,6.5,8.2,7.4,4.2,6,6.2,87.3,0.447,100,8.33,rain,,0,,27.2,209.2,1022.7,97.1,10.6,,,,,1995-01-15T08:09:29,1995-01-15T16:21:36,0.46,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03529099999,03462099999,03418599999,03354099999,03534099999,03649099999,03560099999,03544099999"
15,"Coventry, England, United Kingdom",1995-01-16,9.2,3.9,8.2,5.6,-0.2,4.5,5.4,82.8,0,0,0,,,0,,35.1,196.1,1009,97.7,11.6,,,,,1995-01-16T08:08:36,1995-01-16T16:23:12,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"03529099999,03462099999,03354099999,03534099999,03649099999,03560099999,03544099999"
16,"Coventry, England, United Kingdom",1995-01-17,9.7,1.8,5.8,5.4,-1.5,2.8,4,88.9,3.084,100,8.33,rain,,,,46.1,186.6,992.4,98.7,11.6,,,,,1995-01-17T08:07:39,1995-01-17T16:24:51,0.52,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03529099999,03462099999,03418599999,03354099999,03534099999,03649099999,03560099999,03544099999"
17,"Coventry, England, United Kingdom",1995-01-18,6.3,1.5,3.6,2.4,-2.1,0.2,0,77.5,5.887,100,8.33,rain,,0,,24.1,207.9,994.3,46.5,30.1,,,,,1995-01-18T08:06:40,1995-01-18T16:26:31,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03462099999,03354099999,03534099999,03649099999,03560099999,03544099999"
18,"Coventry, England, United Kingdom",1995-01-19,6.9,0.1,3.5,2.8,-3.6,-0.6,1.3,85.8,0.109,100,8.33,"rain,snow",,0,,42.7,180.1,993.4,68.7,21.9,,,,,1995-01-19T08:05:37,1995-01-19T16:28:12,0.59,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03529099999,03462099999,03354099999,03534099999,03649099999,03560099999,03544099999"
