,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Coventry, England, United Kingdom",1999-01-01,9.2,6.5,7.7,6.3,3.5,4.5,4.8,82.1,0,0,0,,,,,26.5,166.6,1000.7,77.1,20.2,,,,,1999-01-01T08:16:24,1999-01-01T16:02:40,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03647099999,03354099999,03534099999,03649099999,03560099999,03544099999"
1,"Coventry, England, United Kingdom",1999-01-02,7.9,2.7,5.6,3.7,-0.7,1.7,2.4,79.8,0,0,0,,,,,37.1,196.7,992.7,61.1,21.7,,,,,1999-01-02T08:16:16,1999-01-02T16:03:45,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03647099999,03354099999,03534099999,03649099999,03560099999,03544099999"
2,"Coventry, England, United Kingdom",1999-01-03,6.7,3.1,5,3.8,-1.6,1.2,2.5,84,0,0,0,,,,,31.8,214.1,997.9,88.2,14.7,,,,,1999-01-03T08:16:05,1999-01-03T16:04:53,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03647099999,03418599999,03354099999,03534099999,03649099999,03560099999,03544099999"
3,"Coventry, England, United Kingdom",1999-01-04,12.1,7.4,9.6,12.1,3.6,8.3,5.9,78.4,0,0,0,,,,,34.8,218.9,1003.8,89.2,17,,,,,1999-01-04T08:15:50,1999-01-04T16:06:04,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03462099999,03647099999,03418599999,03354099999,03534099999,03649099999,03560099999,03544099999"
4,"Coventry, England, United Kingdom",1999-01-05,13.1,7.9,11.4,13.1,5.4,11.1,8.5,82.6,0,0,0,,,,,28.3,197,1006.7,90.4,13.8,,,,,1999-01-05T08:15:32,1999-01-05T16:07:17,0.61,Overcast,Cloudy skies throughout the day.,cloudy,"03529099999,03462099999,03647099999,03418599999,03354099999,03534099999,03649099999,03560099999,03544099999"
5,"Coventry, England, United Kingdom",1999-01-06,12.3,4.7,8.9,12.3,2.5,8,5.8,81.8,0,0,0,,,,,28,224.8,1005.7,83,12.9,,,,,1999-01-06T08:15:10,1999-01-06T16:08:33,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03462099999,03647099999,03418599999,03354099999,03534099999,03649099999,03560099999,03544099999"
6,"Coventry, England, United Kingdom",1999-01-07,7,2.9,4.8,4.1,0.2,1.9,3.3,89.9,0,0,0,,,,,20,211.5,1004.4,60.1,13.5,,,,,1999-01-07T08:14:45,1999-01-07T16:09:51,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03462099999,03647099999,03418599999,03354099999,03534099999,03649099999,03560099999,03544099999"
7,"Coventry, England, United Kingdom",1999-01-08,4.5,2.1,3.5,4.2,-1.7,0.4,1.4,86.1,0,0,0,,,,,20.6,271.3,1002.5,78.6,15.2,,,,,1999-01-08T08:14:17,1999-01-08T16:11:12,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03647099999,03354099999,03534099999,03649099999,03560099999,03544099999"
8,"Coventry, England, United Kingdom",1999-01-09,4.1,-0.7,1.6,0.5,-4,-1.5,-0.5,86.4,0,0,0,,,,,16.3,328.6,1013.9,59.4,11.4,,,,,1999-01-09T08:13:45,1999-01-09T16:12:35,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03462099999,03647099999,03418599999,03354099999,03534099999,03649099999,03560099999,03544099999"
9,"Coventry, England, United Kingdom",1999-01-10,-1.9,-1.9,-1.9,-3.8,-3.8,-3.8,-2.9,92.9,,0,0,,,,,5,324,,83.5,11,,,,,1999-01-10T08:13:10,1999-01-10T16:14:01,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03418599999,03534099999"
