,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Coventry, England, United Kingdom",2016-01-01,6.9,0.5,4,2.9,-2.1,0.4,2.8,92.3,3.656,100,12.5,"rain,snow",0,0,55.4,28,134.4,1015.2,65.1,12.4,18.5,1.4,1,,2016-01-01T08:16:21,2016-01-01T16:02:31,0.73,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
1,"Coventry, England, United Kingdom",2016-01-02,9.8,6.8,8.6,7.6,2.8,5.9,8,96,1.276,100,12.5,rain,0,0,53.6,28.8,111.1,997.4,90.3,10.1,6,0.5,0,,2016-01-02T08:16:14,2016-01-02T16:03:36,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
2,"Coventry, England, United Kingdom",2016-01-03,8.6,4.4,6.8,7.8,1.7,4.4,6.1,94.9,4.846,100,16.67,rain,0,0,59.4,29.7,172.4,989.3,72.6,16.8,4.5,0.3,0,,2016-01-03T08:16:03,2016-01-03T16:04:44,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
3,"Coventry, England, United Kingdom",2016-01-04,7.9,4.4,6.2,6.1,1.9,4,5.6,96.1,0.309,100,12.5,rain,0,0,31,14.1,160.4,980.4,69.3,15.3,25.7,2.3,1,,2016-01-04T08:15:49,2016-01-04T16:05:54,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
4,"Coventry, England, United Kingdom",2016-01-05,7.9,5.8,6.8,7,4.2,5.6,6.4,97.2,1.389,100,8.33,rain,0,0,28.8,15.5,151.6,983.5,86.1,11,20.4,1.7,1,,2016-01-05T08:15:31,2016-01-05T16:07:07,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
5,"Coventry, England, United Kingdom",2016-01-06,7.5,5,6,6.8,2.5,4.4,5.5,96.7,0.19,100,12.5,rain,0,0,35.6,17.8,125,993.7,87,4.5,23.9,1.9,1,,2016-01-06T08:15:10,2016-01-06T16:08:23,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
6,"Coventry, England, United Kingdom",2016-01-07,8.2,2.6,5.7,5.8,-0.4,2,3.8,88.1,8.931,100,8.33,rain,0,0,58.7,31.5,226.1,987,58.4,17.5,17.8,1.5,1,,2016-01-07T08:14:45,2016-01-07T16:09:41,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
7,"Coventry, England, United Kingdom",2016-01-08,8.1,1.4,4.2,6.1,-1.7,1.6,2.6,89.3,0,0,0,,0,0,42.5,17.2,185.1,996.8,39,18.2,32.5,2.8,2,,2016-01-08T08:14:17,2016-01-08T16:11:01,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
8,"Coventry, England, United Kingdom",2016-01-09,9.1,4.5,7,7,2.1,4.1,6,93.4,1.697,100,12.5,rain,0,0,54.8,27.8,166.2,987.1,63.4,19.7,17.9,1.6,1,,2016-01-09T08:13:46,2016-01-09T16:12:24,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
9,"Coventry, England, United Kingdom",2016-01-10,6.2,3,4.4,2.8,-0.1,1.1,2.6,88.4,2.289,100,16.67,rain,0,0,54.9,21.3,202.9,981.8,46.7,30.4,40.9,3.6,2,,2016-01-10T08:13:12,2016-01-10T16:13:49,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
10,"Coventry, England, United Kingdom",2016-01-11,4.8,3,3.8,3.3,0.6,1.8,3.1,95.2,3.346,100,12.5,rain,0,0,32.4,14.3,241.6,982.1,73.7,14,17,1.5,1,,2016-01-11T08:12:34,2016-01-11T16:15:16,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
