,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Coventry, England, United Kingdom",1987-01-01,9.3,5.6,6.7,7,1.4,3.6,4.9,88.5,3.651,100,8.33,rain,,,,28.9,195.2,1002.9,88.6,13,,,,,1987-01-01T08:16:29,1987-01-01T16:02:34,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03647099999,03418599999,03354099999,03534099999,03649099999,03544099999"
1,"Coventry, England, United Kingdom",1987-01-02,5.8,1.6,4.1,2.7,-2.4,0.4,1.6,83.6,0.965,100,4.17,rain,,,,26.8,331.6,1010.1,74.1,21.6,,,,,1987-01-02T08:16:22,1987-01-02T16:03:39,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03529099999,03647099999,03418599999,03354099999,03534099999,03649099999,03544099999"
2,"Coventry, England, United Kingdom",1987-01-03,2.7,-2.5,0,1.1,-4.1,-1.6,-2.9,81.4,0.253,100,4.17,"rain,snow",,,,12.2,295.6,1030.4,38.4,13.2,,,,,1987-01-03T08:16:11,1987-01-03T16:04:47,0.11,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"03529099999,03647099999,03418599999,03354099999,03534099999,03649099999,03544099999"
3,"Coventry, England, United Kingdom",1987-01-04,9.5,1.1,5.4,6.5,-3.5,1.5,3.1,85.2,2.669,100,4.17,rain,,,,32.3,226.7,1017.4,94.5,13.4,,,,,1987-01-04T08:15:56,1987-01-04T16:05:58,0.15,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"03529099999,03647099999,03418599999,03354099999,03534099999,03649099999,03544099999"
4,"Coventry, England, United Kingdom",1987-01-05,7.6,2.9,5.4,3.4,-1.3,1.2,1.1,74,0.034,100,8.33,rain,,,,32.2,265.7,1010.4,57.6,39.2,,,,,1987-01-05T08:15:38,1987-01-05T16:07:11,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03462099999,03647099999,03418599999,03354099999,03534099999,03649099999,03544099999"
5,"Coventry, England, United Kingdom",1987-01-06,4.6,1.9,3.4,0.6,-2.4,-1,-1.7,69.6,0.16,100,4.17,rain,,,,34.4,314.3,1017.1,50.2,31.1,,,,,1987-01-06T08:15:17,1987-01-06T16:08:27,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03529099999,03462099999,03647099999,03354099999,03534099999,03649099999,03544099999"
6,"Coventry, England, United Kingdom",1987-01-07,3.5,-2,0.4,0.6,-4.1,-1.8,-1.6,86.7,0.264,100,4.17,rain,,,,13,323.7,1030.9,34.8,8.2,,,,,1987-01-07T08:14:52,1987-01-07T16:09:45,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03529099999,03462099999,03647099999,03354099999,03534099999,03649099999,03544099999"
7,"Coventry, England, United Kingdom",1987-01-08,1.5,-6.1,-2.7,1.5,-6.3,-3.3,-3.8,92.6,0.011,100,4.17,"rain,snow",,,,12.1,184.7,1027.6,43.8,3.2,,,,,1987-01-08T08:14:24,1987-01-08T16:11:06,0.28,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"03462099999,03647099999,03418599999,03354099999,03534099999,03649099999,03544099999"
8,"Coventry, England, United Kingdom",1987-01-09,1.1,-3.1,-0.4,-2.4,-6.1,-3.9,-1.9,90.1,0,0,0,,,,,13.2,135.4,1011.9,90.5,5,,,,,1987-01-09T08:13:53,1987-01-09T16:12:28,0.31,Overcast,Cloudy skies throughout the day.,cloudy,"03462099999,03647099999,03418599999,03354099999,03534099999,03649099999,03544099999"
9,"Coventry, England, United Kingdom",1987-01-10,0.2,-4,-1.3,-3,-9.2,-6.2,-3.2,87.1,0.014,100,4.17,"rain,snow",,0,,21.7,70.7,1015.7,92.5,9.9,,,,,1987-01-10T08:13:18,1987-01-10T16:13:54,0.35,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,rain,"03462099999,03418599999,03647099999,03354099999,03534099999,03649099999,03544099999"
10,"Coventry, England, United Kingdom",1987-01-11,-4,-9.6,-5.9,-9.2,-14.8,-11.2,-7.5,88.3,0,0,0,,,4.5,,17.9,43.8,1028.3,45.4,14.7,,,,,1987-01-11T08:12:40,1987-01-11T16:15:21,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,03647099999,03418599999,03354099999,03534099999,03649099999,03544099999"
11,"Coventry, England, United Kingdom",1987-01-12,-6.8,-13.2,-9.8,-10.4,-18,-14,-11,90.4,0.016,100,4.17,snow,,7.1,,12.4,37.3,1025.6,39.6,9.8,,,,,1987-01-12T08:11:59,1987-01-12T16:16:50,0.41,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"03462099999,03647099999,03418599999,03354099999,03534099999,03649099999,03544099999"
