,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Coventry, England, United Kingdom",1981-01-01,7,4.2,5.5,2.9,-1.4,0.9,-0.3,66.8,0.387,100,8.33,rain,,,,40.1,276.6,1026,68,25.7,,,,,1981-01-01T08:16:26,1981-01-01T16:03:06,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03462099999,03354099999,03649099999,03534099999"
1,"Coventry, England, United Kingdom",1981-01-02,10.1,6,8.5,10.1,2.1,5,5.8,83.3,0,0,0,,,,,41.9,253.3,1016.3,97.9,17.5,,,,,1981-01-02T08:16:17,1981-01-02T16:04:12,0.88,Overcast,Cloudy skies throughout the day.,cloudy,"03529099999,03462099999,03354099999,03534099999,03649099999"
2,"Coventry, England, United Kingdom",1981-01-03,11.1,4.8,8.5,11.1,0.3,5.3,2.9,68,0.173,100,4.17,rain,,,,53.4,275.7,1003.4,71.6,31.1,,,,,1981-01-03T08:16:04,1981-01-03T16:05:21,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03529099999,03462099999,03354099999,03534099999,03649099999"
3,"Coventry, England, United Kingdom",1981-01-04,4.9,1.1,3,1.5,-4.1,-2,-1.1,75,0,0,0,,,,,47.1,298.6,1012.1,43.7,24.4,,,,,1981-01-04T08:15:48,1981-01-04T16:06:33,0.94,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03529099999,03462099999,03354099999,03534099999,03649099999"
4,"Coventry, England, United Kingdom",1981-01-05,5.8,-2.7,1.5,2,-5.1,-1.6,-1.4,81.7,0,0,0,,,,,32.5,261.7,1024,54.3,14.7,,,,,1981-01-05T08:15:29,1981-01-05T16:07:47,0.97,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"03529099999,03462099999,03354099999,03534099999,03649099999"
5,"Coventry, England, United Kingdom",1981-01-06,6.1,1,3.6,3.3,-1.8,0.3,1.8,88.2,0.3,100,8.33,rain,,1,,48.9,314.3,1022.9,93.3,14.2,,,,,1981-01-06T08:15:06,1981-01-06T16:09:04,0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03529099999,03462099999,03418599999,03354099999,03534099999,03649099999"
6,"Coventry, England, United Kingdom",1981-01-07,4.1,-0.7,1.9,1.8,-2.4,0.2,0.5,90.6,0.088,100,4.17,"rain,snow",,1,,15.5,250.3,1035.5,91.9,5.3,,,,,1981-01-07T08:14:40,1981-01-07T16:10:24,0.04,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,rain,"03529099999,03462099999,03354099999,03534099999,03649099999"
7,"Coventry, England, United Kingdom",1981-01-08,9.2,1.2,6.8,7.3,-1.3,4.5,5.3,90,0,0,0,,,,,26.6,245.4,1033.8,81.5,11.2,,,,,1981-01-08T08:14:10,1981-01-08T16:11:45,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03462099999,03354099999,03534099999,03649099999"
8,"Coventry, England, United Kingdom",1981-01-09,8.1,1.9,5.7,5.1,-2.1,2.1,3.7,87.4,0.1,100,4.17,rain,,,,24.6,260.4,1024.9,83.9,16.3,,,,,1981-01-09T08:13:37,1981-01-09T16:13:09,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03529099999,03462099999,03354099999,03534099999,03649099999"
9,"Coventry, England, United Kingdom",1981-01-10,3.1,0.2,1.9,-1.6,-4.6,-3.3,-1.3,79.8,0,0,0,,,,,36.6,350.3,1029.1,60.2,21.7,,,,,1981-01-10T08:13:01,1981-01-10T16:14:35,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03462099999,03354099999,03534099999,03649099999"
