,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Coventry, England, United Kingdom",1990-01-01,4.3,2,3.3,2.6,-2.1,0,2.4,93.6,0.451,100,4.17,rain,,,,17.8,147.1,1014.9,99.3,3.8,,,,,1990-01-01T08:16:26,1990-01-01T16:02:52,0.16,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"03647099999,03418599999,03354099999,03534099999,03649099999,03560099999,03544099999"
1,"Coventry, England, United Kingdom",1990-01-02,7.8,0.6,5,4.9,-1.9,2.3,4.1,94,1.053,100,8.33,rain,,,,20.5,168,1015.9,97.2,5.8,,,,,1990-01-02T08:16:18,1990-01-02T16:03:57,0.19,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03647099999,03418599999,03354099999,03534099999,03649099999,03560099999,03544099999"
2,"Coventry, England, United Kingdom",1990-01-03,6.5,3.3,4.3,3.5,-0.2,1.4,2.6,88.7,0,0,0,,,,,20.4,156.3,1015.9,97.1,9,,,,,1990-01-03T08:16:06,1990-01-03T16:05:06,0.23,Overcast,Cloudy skies throughout the day.,cloudy,"03647099999,03354099999,03534099999,03649099999,03560099999,03544099999"
3,"Coventry, England, United Kingdom",1990-01-04,7.9,3.5,4.8,5.9,1.4,2.9,3.5,91.3,0,0,0,,,,,12.6,196.7,1019.2,81.4,4.6,,,,,1990-01-04T08:15:50,1990-01-04T16:06:17,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03647099999,03354099999,03534099999,03649099999,03560099999,03544099999"
4,"Coventry, England, United Kingdom",1990-01-05,9.1,4.1,7.1,7,1.5,4.9,6.5,95.3,0.008,100,4.17,rain,,,,18.1,175.1,1019.3,95.5,4.6,,,,,1990-01-05T08:15:31,1990-01-05T16:07:31,0.3,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"03647099999,03354099999,03534099999,03649099999,03560099999,03544099999"
5,"Coventry, England, United Kingdom",1990-01-06,11.2,5.6,8.7,11.2,4.2,7.3,7.9,94.5,1.022,100,8.33,rain,,,,20.2,194.5,1016.8,96.6,10.3,,,,,1990-01-06T08:15:09,1990-01-06T16:08:47,0.33,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03647099999,03354099999,03534099999,03649099999,03560099999,03544099999"
6,"Coventry, England, United Kingdom",1990-01-07,8,-1.4,3.7,4.9,-1.8,1.9,2.7,93.1,0.449,100,8.33,rain,,,,20.2,206.2,1024.5,65.9,8.7,,,,,1990-01-07T08:14:44,1990-01-07T16:10:06,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03647099999,03418599999,03354099999,03534099999,03649099999,03560099999,03544099999"
7,"Coventry, England, United Kingdom",1990-01-08,8.3,1.7,5.2,8,0.4,3.8,3.9,91.9,0.998,100,4.17,rain,,,,19,227.9,1030.6,63.1,10.1,,,,,1990-01-08T08:14:15,1990-01-08T16:11:28,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03462099999,03647099999,03418599999,03354099999,03534099999,03649099999,03560099999,03544099999"
8,"Coventry, England, United Kingdom",1990-01-09,9.4,4.5,7.2,8.5,1.5,5.4,6.2,93.7,0.55,100,8.33,rain,,,,14.2,212.5,1031.5,88.5,7.9,,,,,1990-01-09T08:13:42,1990-01-09T16:12:51,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03462099999,03647099999,03354099999,03534099999,03649099999,03560099999,03544099999"
9,"Coventry, England, United Kingdom",1990-01-10,10.1,8.1,9.4,10.1,5.4,6.8,7.1,85.9,0.049,100,8.33,rain,,,,30.6,214.1,1024.6,92.9,12.5,,,,,1990-01-10T08:13:07,1990-01-10T16:14:17,0.47,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03462099999,03647099999,03354099999,03534099999,03649099999,03560099999,03544099999"
10,"Coventry, England, United Kingdom",1990-01-11,10.8,7.3,9.6,10.8,3.7,7.2,6.7,82.5,0,0,0,,,,,28.7,216.5,1022.7,85.5,20.5,,,,,1990-01-11T08:12:28,1990-01-11T16:15:45,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,03647099999,03418599999,03354099999,03534099999,03649099999,03560099999,03544099999"
11,"Coventry, England, United Kingdom",1990-01-12,9.4,3.3,7.1,6.3,1.7,4.5,5.5,89.7,0.011,100,4.17,rain,,,,23.3,208.5,1021.3,82.7,14,,,,,1990-01-12T08:11:46,1990-01-12T16:17:15,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03462099999,03647099999,03418599999,03354099999,03534099999,03649099999,03560099999,03544099999"
