,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Coventry, England, United Kingdom",2017-01-01,7.1,0.4,4.5,5,-3.1,1.2,4,96.4,7.356,100,12.5,rain,0,0,57.6,25.3,358,1018.8,76.3,13.1,5,0.4,0,,2017-01-01T08:16:16,2017-01-01T16:03:19,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
1,"Coventry, England, United Kingdom",2017-01-02,3.3,-1,0.8,0,-4.8,-2.2,-0.5,91.6,0.013,100,4.17,rain,0,0,33.5,13.2,319.7,1029.6,4.6,19.6,41.5,3.5,2,,2017-01-02T08:16:06,2017-01-02T16:04:26,0.15,Rain,Clear conditions throughout the day with afternoon rain.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
2,"Coventry, England, United Kingdom",2017-01-03,5.5,-2.2,3,2.1,-2.7,-0.1,1,86.7,0.196,100,12.5,"rain,snow",0,0,50,20.8,269.4,1027.2,75.2,25.8,27.7,2.4,1,,2017-01-03T08:15:52,2017-01-03T16:05:36,0.18,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
3,"Coventry, England, United Kingdom",2017-01-04,7.4,-0.9,4.6,4.1,-2.9,1.8,2,83.2,0.08,100,4.17,rain,0,0,50,19.7,317.1,1026,55.6,24,28.5,2.4,2,,2017-01-04T08:15:35,2017-01-04T16:06:48,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
4,"Coventry, England, United Kingdom",2017-01-05,4.4,-4.1,-0.8,4.4,-5.2,-1.4,-2.3,89.9,0,0,0,,0,0,18,6.7,229.9,1034.5,44.8,16.3,35.5,3,2,,2017-01-05T08:15:15,2017-01-05T16:08:03,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
5,"Coventry, England, United Kingdom",2017-01-06,5.9,-2.4,2.8,4,-4.9,0,1.8,93.2,0.944,100,4.17,rain,0,0,38.9,16.6,193.9,1033.9,86.8,11.2,12.4,0.9,1,,2017-01-06T08:14:51,2017-01-06T16:09:21,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
6,"Coventry, England, United Kingdom",2017-01-07,9.7,6.1,8.3,9.7,4.3,7.6,8.2,99.3,0.58,100,8.33,rain,0,1.3,27.4,8.6,269.1,1031.6,92.5,4.8,11.1,0.8,1,,2017-01-07T08:14:24,2017-01-07T16:10:41,0.32,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
7,"Coventry, England, United Kingdom",2017-01-08,9.9,5.7,7.8,9.7,5.5,7.5,7.6,98.7,0.125,100,8.33,rain,0,0.5,17.3,8.2,225.1,1031.5,84.6,6.6,13.1,1,1,,2017-01-08T08:13:54,2017-01-08T16:12:03,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
8,"Coventry, England, United Kingdom",2017-01-09,8.7,3.4,6.7,6.4,0.6,4.1,5.9,94.7,1.517,100,8.33,rain,0,0,51.8,23,220.1,1016.9,65.3,15,8.9,0.7,1,,2017-01-09T08:13:20,2017-01-09T16:13:28,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
9,"Coventry, England, United Kingdom",2017-01-10,8.1,3.5,6.6,6,0.7,4.1,4.6,87.2,0.113,100,8.33,rain,0,0.3,41.8,17.5,253.6,1009.8,77.8,19.5,27.5,2.3,2,,2017-01-10T08:12:43,2017-01-10T16:14:54,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
10,"Coventry, England, United Kingdom",2017-01-11,10.7,5.1,7.8,10.7,1.1,4.6,2.7,70.7,0,0,0,,0,0.7,62.6,38.4,278.4,1009.4,60.8,19.8,41.5,3.7,2,,2017-01-11T08:12:02,2017-01-11T16:16:23,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
11,"Coventry, England, United Kingdom",2017-01-12,5.6,0.7,3.6,2.4,-4.4,0.1,1.4,86,3.758,100,8.33,"rain,snow",0,0.2,53.6,22.8,268.9,1004.1,58.8,20.1,16.6,1.3,1,,2017-01-12T08:11:19,2017-01-12T16:17:54,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
12,"Coventry, England, United Kingdom",2017-01-13,5.2,0.4,2.3,0.2,-5.1,-2.6,-0.4,83.1,0.822,100,8.33,"rain,snow",0,2.6,63.8,34.5,302.2,1009.4,45.8,22.9,39.8,3.5,2,,2017-01-13T08:10:33,2017-01-13T16:19:26,0.53,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
13,"Coventry, England, United Kingdom",2017-01-14,5.2,0.8,3.1,1.9,-3.1,-0.5,1.6,89.7,1.422,100,8.33,rain,0,0.8,43.6,22.6,293.5,1020,54.2,24.9,32.6,3,2,,2017-01-14T08:09:43,2017-01-14T16:21:01,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
14,"Coventry, England, United Kingdom",2017-01-15,8.9,3.6,6.6,6.7,1.9,4.1,6.4,98.5,10.039,100,16.67,rain,0,0,41.8,21.9,298,1022.5,86.1,11.3,5.2,0.5,0,,2017-01-15T08:08:50,2017-01-15T16:22:37,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999"
