,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Coventry, England, United Kingdom",1978-01-01,8,6.9,7.2,6.2,3.6,4.4,2.3,71,0,0,0,,,,,23.6,257.1,1020.4,93.1,22,,,,,1978-01-01T08:16:27,1978-01-01T16:02:48,0.74,Overcast,Cloudy skies throughout the day.,cloudy,"03462099999,03354099999,03534099999,03649099999"
1,"Coventry, England, United Kingdom",1978-01-02,6.1,2.1,5,3.4,-2.6,1.1,0.7,74.5,0,0,0,,,,,31,253.2,1018.4,60.4,21.1,,,,,1978-01-02T08:16:19,1978-01-02T16:03:54,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03462099999,03418599999,03354099999,03534099999,03649099999"
2,"Coventry, England, United Kingdom",1978-01-03,8.7,3.9,5.8,3.7,-1.6,0.8,0.5,69.3,2.819,100,4.17,rain,,,,55.1,271.7,1013.7,77.3,22.5,,,,,1978-01-03T08:16:07,1978-01-03T16:05:02,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03462099999,03354099999,03534099999,03649099999"
3,"Coventry, England, United Kingdom",1978-01-04,3.1,-1.9,1.3,3.1,-1.9,1.2,0.1,91.8,0,0,0,,,,,6.6,104.1,1028,77.5,5.9,,,,,1978-01-04T08:15:52,1978-01-04T16:06:13,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,03354099999,03534099999,03649099999"
4,"Coventry, England, United Kingdom",1978-01-05,7,-0.1,4.3,4.4,-3.9,0.7,2.7,89.4,0.522,100,4.17,rain,,,,22.5,198.8,1032.5,94.1,8.3,,,,,1978-01-05T08:15:33,1978-01-05T16:07:27,0.87,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"03462099999,03354099999,03534099999,03649099999"
5,"Coventry, England, United Kingdom",1978-01-06,8,2.1,6.2,5.7,-1.3,3.2,3.2,81.5,0,0,0,,,,,20.6,217.4,1030.5,69.1,19,,,,,1978-01-06T08:15:11,1978-01-06T16:08:43,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,03354099999,03534099999,03649099999"
6,"Coventry, England, United Kingdom",1978-01-07,6.9,0.3,2.7,6.9,-2.3,1,0.7,86.9,0,0,0,,,,,19,180,1025.9,75.5,13.8,,,,,1978-01-07T08:14:46,1978-01-07T16:10:02,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,03354099999,03534099999,03649099999"
7,"Coventry, England, United Kingdom",1978-01-08,7,3.8,5.5,6.1,3.8,4.5,5.1,97.5,0,0,0,,,,,13.9,194.6,1025.5,95.7,2.6,,,,,1978-01-08T08:14:17,1978-01-08T16:11:23,0.98,Overcast,Cloudy skies throughout the day.,cloudy,"03462099999,03354099999,03534099999,03649099999"
8,"Coventry, England, United Kingdom",1978-01-09,8,2.8,5.9,4.3,-1.8,2.3,3.5,85,1.073,100,4.17,rain,,,,28.8,225.1,1015.9,73.2,15,,,,,1978-01-09T08:13:45,1978-01-09T16:12:46,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03462099999,03354099999,03534099999,03649099999"
9,"Coventry, England, United Kingdom",1978-01-10,5,1.9,3.3,0.8,-3.3,-1.6,1,85.1,0,0,0,,,,,29.3,218.9,1007.9,70.5,19.6,,,,,1978-01-10T08:13:10,1978-01-10T16:14:12,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,03354099999,03534099999,03649099999"
10,"Coventry, England, United Kingdom",1978-01-11,5,2,3.2,0.6,-4.8,-2.4,0.4,82.6,3.135,100,8.33,"rain,snow",,,,51.1,328.6,990.3,93.7,13.3,,,,,1978-01-11T08:12:32,1978-01-11T16:15:39,0.08,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"03462099999,03354099999,03534099999,03649099999"
