,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Coventry, England, United Kingdom",2019-01-01,9.3,2.5,7.2,7.1,0.9,5.2,4.6,83.2,0,0,0,,0,0,37.1,21.5,304.1,1036,79.5,19.2,11.7,1.1,1,,2019-01-01T08:16:20,2019-01-01T16:02:48,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,EGBB,E7347,03647099999,03535099999,03534099999,03544099999"
1,"Coventry, England, United Kingdom",2019-01-02,4.7,-0.9,2.4,4.1,-1.1,1.9,-0.9,79.9,0.112,100,4.17,rain,0,0,18.4,6.9,353,1043.9,81.8,18,14.8,1.3,1,,2019-01-02T08:16:12,2019-01-02T16:03:54,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03529099999,EGBB,E7347,03647099999,03535099999,03534099999,03544099999"
2,"Coventry, England, United Kingdom",2019-01-03,3.7,1,2.7,3.7,1,2.6,-2.4,69.5,0,0,0,,0,0,11.5,4.9,151.2,1043.6,96.5,17.1,12.4,0.9,1,,2019-01-03T08:16:00,2019-01-03T16:05:02,0.91,Overcast,Cloudy skies throughout the day.,cloudy,"03529099999,EGBB,E7347,03647099999,03535099999,03534099999,03544099999"
3,"Coventry, England, United Kingdom",2019-01-04,3.3,-3.5,0.4,2.2,-4.2,-0.9,-2.2,83.3,0,0,0,,0,0,19.4,10.3,267.4,1042.5,73.4,9.5,23,2,1,,2019-01-04T08:15:45,2019-01-04T16:06:13,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,EGBB,E7347,03647099999,03535099999,03534099999,03544099999"
4,"Coventry, England, United Kingdom",2019-01-05,5.5,3.2,4.4,4.4,0.4,2.5,1.4,81.1,0,0,0,,0,0,20.9,10.9,272.3,1038.8,96.6,14,9.3,0.8,0,,2019-01-05T08:15:26,2019-01-05T16:07:27,0.98,Overcast,Cloudy skies throughout the day.,cloudy,"03529099999,EGBB,E7347,03647099999,03535099999,03534099999,03544099999"
5,"Coventry, England, United Kingdom",2019-01-06,9.8,5.2,7.5,8.4,3.6,6.1,5,84.2,0,0,0,,0,0,20.9,14,274,1036.7,90.7,14.6,17.5,1.4,1,,2019-01-06T08:15:04,2019-01-06T16:08:43,0,Overcast,Cloudy skies throughout the day.,cloudy,"03529099999,EGBB,E7347,03647099999,03535099999,03534099999,03544099999"
6,"Coventry, England, United Kingdom",2019-01-07,11,6.4,8.7,11,4.4,7.1,6.2,84.7,0.008,100,4.17,rain,0,0,51.8,26.2,259.3,1031,69.3,20,17,1.4,1,,2019-01-07T08:14:39,2019-01-07T16:10:02,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03529099999,EGBB,E7347,03647099999,03535099999,03534099999,03544099999"
7,"Coventry, England, United Kingdom",2019-01-08,8.3,3.3,6.3,5.1,0.3,2.9,2.6,77.1,0,0,0,,0,0,51.8,26,311.6,1028.9,41.3,13.8,23.1,1.9,2,,2019-01-08T08:14:10,2019-01-08T16:11:23,0.08,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"03529099999,EGBB,E7347,03647099999,03535099999,03534099999,03544099999"
8,"Coventry, England, United Kingdom",2019-01-09,4.3,0.4,2.4,0.3,-2.3,-1,-0.1,83.8,0,0,0,,0,0,32.4,20.9,329.6,1031.2,47.7,18.7,29,2.5,2,,2019-01-09T08:13:38,2019-01-09T16:12:46,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,EGBB,E7347,03647099999,03535099999,03534099999,03544099999"
9,"Coventry, England, United Kingdom",2019-01-10,7.5,-0.2,3.5,4.9,-2.3,1.6,2.1,90.4,0,0,0,,0,0,29.2,17.4,302.6,1031,84.4,10.4,17,1.3,1,,2019-01-10T08:13:02,2019-01-10T16:14:12,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,EGBB,E7347,03647099999,03535099999,03534099999,03544099999"
