,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Coventry, England, United Kingdom",1979-01-01,-2.5,-8.7,-5.5,-6.8,-14.2,-10.7,-8.2,81.8,0,0,0,,,1.8,,20.5,289.8,1021,37,14.6,,,,,1979-01-01T08:16:28,1979-01-01T16:02:33,0.09,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"03529099999,03462099999,03354099999,03534099999,03649099999"
1,"Coventry, England, United Kingdom",1979-01-02,1.3,-5.4,-1.7,-0.1,-9.3,-5.6,-5.1,78.5,0.287,100,8.33,"rain,snow",,4.3,,24.6,267.1,1025.8,53.2,18.6,,,,,1979-01-02T08:16:21,1979-01-02T16:03:38,0.13,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03529099999,03462099999,03354099999,03534099999,03649099999"
2,"Coventry, England, United Kingdom",1979-01-03,-2,-7.2,-3.9,-3.7,-10.7,-7.5,-5.9,86.5,0,0,0,,,3.1,,19.1,129.8,1019.1,65.5,9.5,,,,,1979-01-03T08:16:10,1979-01-03T16:04:45,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03462099999,03354099999,03534099999,03649099999"
3,"Coventry, England, United Kingdom",1979-01-04,1,-3,-1.6,-4.7,-9.6,-7.6,-5.7,73.5,0,0,0,,,3.1,,27.3,70.5,1011.7,89.4,17,,,,,1979-01-04T08:15:56,1979-01-04T16:05:56,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03462099999,03354099999,03534099999,03649099999"
4,"Coventry, England, United Kingdom",1979-01-05,-0.8,-5.8,-3.6,-3.6,-11,-7.3,-6.9,77.7,0,0,0,,,1.5,,23.7,50.7,1025.5,64,14.4,,,,,1979-01-05T08:15:38,1979-01-05T16:07:09,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03462099999,03354099999,03534099999,03649099999"
5,"Coventry, England, United Kingdom",1979-01-06,3,-6.7,-1.8,-1.3,-11.9,-6.1,-4.1,84.1,0,0,0,,,2,,21.8,199.6,1026.5,78.2,8.8,,,,,1979-01-06T08:15:17,1979-01-06T16:08:24,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03462099999,03354099999,03534099999,03649099999"
6,"Coventry, England, United Kingdom",1979-01-07,8,3,5.8,6.2,-1.4,2.3,5.3,96.3,0.174,100,4.17,rain,,1.3,,31,207.5,1022.4,98,5.1,,,,,1979-01-07T08:14:53,1979-01-07T16:09:42,0.3,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"03529099999,03462099999,03354099999,03534099999,03649099999"
7,"Coventry, England, United Kingdom",1979-01-08,6.4,4.2,5,5.1,1.2,2.4,3.7,91.4,0.088,100,4.17,rain,,,,16.7,215,1017.8,91.8,8.6,,,,,1979-01-08T08:14:25,1979-01-08T16:11:03,0.33,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"03529099999,03462099999,03354099999,03534099999,03649099999"
8,"Coventry, England, United Kingdom",1979-01-09,4.2,-0.1,1.9,1.2,-4.1,-2,-1,81.8,0.087,100,4.17,rain,,,,22.7,227.7,1010.3,37.9,20.1,,,,,1979-01-09T08:13:53,1979-01-09T16:12:25,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03529099999,03462099999,03354099999,03534099999,03649099999"
9,"Coventry, England, United Kingdom",1979-01-10,4,0.3,2,-0.7,-6.1,-3.4,-0.5,84,0.158,100,4.17,rain,,1,,47.6,234.6,983.6,79.8,15.5,,,,,1979-01-10T08:13:19,1979-01-10T16:13:50,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03462099999,03354099999,03534099999,03649099999"
