,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Coventry, England, United Kingdom",2023-01-01,10.3,6.7,8.7,10.3,4.6,6.7,5.9,82.4,1.1,100,25,rain,0,0,41.9,22.9,201.2,1004.8,49.4,22.7,20.3,1.8,1,10,2023-01-01T08:16:23,2023-01-01T16:02:51,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,EGBB,E7347,03647099999,03535099999,03534099999,03544099999"
1,"Coventry, England, United Kingdom",2023-01-02,6.6,-0.2,4.3,5.7,-2.4,2.5,2.6,88.9,0.125,100,12.5,rain,0,0,21,10.4,225.4,1015.6,51.6,27.4,22,2,1,10,2023-01-02T08:16:15,2023-01-02T16:03:56,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03529099999,EGBB,E7347,03647099999,03535099999,03534099999,03544099999"
2,"Coventry, England, United Kingdom",2023-01-03,12.2,-0.3,7.8,12.2,-2.6,6.2,6.8,93.5,1.846,100,70.83,rain,0,0,45.1,26.1,191.4,1014.4,90,23,8.4,0.7,1,10,2023-01-03T08:16:03,2023-01-03T16:05:05,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03529099999,EGBB,E7347,03647099999,03535099999,03534099999,03544099999"
3,"Coventry, England, United Kingdom",2023-01-04,12.9,10.5,11.8,12.9,10.5,11.8,8.5,80.4,1.383,100,37.5,rain,0,0,43.3,25.1,241.4,1011.2,70.6,25.1,18.5,1.8,1,10,2023-01-04T08:15:47,2023-01-04T16:06:16,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03529099999,EGBB,E7347,03647099999,03535099999,03534099999,03544099999"
4,"Coventry, England, United Kingdom",2023-01-05,12.1,8.6,10.5,12.1,7.3,10,8.4,86.6,0.333,100,33.33,rain,0,0,40.9,23.2,211.8,1015.3,83,24.6,18.8,1.7,1,10,2023-01-05T08:15:29,2023-01-05T16:07:30,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,EGBB,E7347,03647099999,03535099999,03534099999,03544099999"
5,"Coventry, England, United Kingdom",2023-01-06,11.8,6,8.4,11.8,3.5,6.4,6.6,88.4,3.454,100,33.33,rain,0,0,44.9,22.4,205.6,1010.4,58.8,28.4,24.7,2.1,1,10,2023-01-06T08:15:06,2023-01-06T16:08:46,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,EGBB,E7347,03647099999,03535099999,03534099999,E9265,03544099999"
6,"Coventry, England, United Kingdom",2023-01-07,11.8,6.7,9.8,11.8,2.9,8.8,7.7,86.5,9.406,100,75,rain,0,0,50.8,30.2,190.6,995.7,80.8,23.5,8,0.7,1,10,2023-01-07T08:14:41,2023-01-07T16:10:05,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03529099999,EGBB,E7347,03647099999,03535099999,03534099999,03544099999"
7,"Coventry, England, United Kingdom",2023-01-08,8.2,3.7,6.2,5,0.9,3.3,3.8,84.7,0.377,100,29.17,rain,0,0,38.8,23.1,194.8,989.2,53.3,29.7,24.9,2.1,2,10,2023-01-08T08:14:12,2023-01-08T16:11:26,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03529099999,EGBB,E7347,03647099999,03535099999,03534099999,03544099999"
8,"Coventry, England, United Kingdom",2023-01-09,7.7,3.9,5.6,4,1.3,2.6,2.5,81.3,0,0,0,rain,0,0,43.9,25.6,254,999.5,41.2,27.5,21,1.9,1,10,2023-01-09T08:13:40,2023-01-09T16:12:50,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,EGBB,E7347,03647099999,03535099999,03534099999,03544099999"
9,"Coventry, England, United Kingdom",2023-01-10,12.7,3.9,8.5,12.7,1.5,7,6.6,88.1,7.86,100,54.17,rain,0,0,48.4,25.5,202.7,1004,83.4,22.3,8.5,0.7,1,10,2023-01-10T08:13:04,2023-01-10T16:14:15,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,EGBB,E7347,03647099999,03535099999,03534099999,E9265,03544099999"
