,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Coventry, England, United Kingdom",1973-01-01,8.6,2.1,4.4,6.2,-0.7,1.8,2.9,89.9,0.107,100,4.17,rain,,,,15.6,205.4,1025.7,84.1,3,,,,,1973-01-01T08:16:27,1973-01-01T16:03:01,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03354099999,03534099999,03649099999"
1,"Coventry, England, United Kingdom",1973-01-02,8.7,2,4.8,5.8,-1.4,1.8,3.5,91.9,0.107,100,4.17,rain,,,,19.5,204.4,1027.7,38.8,4.4,,,,,1973-01-02T08:16:19,1973-01-02T16:04:07,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03354099999,03534099999,03649099999"
2,"Coventry, England, United Kingdom",1973-01-03,10.9,5,8.5,10.9,1.7,6.9,7.7,94.9,0,0,0,,,,,15.5,215.5,,89.4,4.1,,,,,1973-01-03T08:16:06,1973-01-03T16:05:16,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03354099999,03534099999,03649099999"
3,"Coventry, England, United Kingdom",1973-01-04,10.1,8.1,9.3,10.1,6.9,9,8.7,96,0,0,0,,,,,14.4,243.2,,97.5,2.9,,,,,1973-01-04T08:15:50,1973-01-04T16:06:28,0,Overcast,Cloudy skies throughout the day.,cloudy,"03354099999,03534099999,03649099999"
4,"Coventry, England, United Kingdom",1973-01-05,8.9,1.2,6.3,8.9,-1.6,5.4,5.4,94.5,0,0,0,,,,,16.3,74,,63.1,2.9,,,,,1973-01-05T08:15:31,1973-01-05T16:07:42,0.03,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03354099999,03534099999,03649099999"
5,"Coventry, England, United Kingdom",1973-01-06,4.1,-1.8,1.6,2.1,-1.8,0.1,1.5,99.4,0.107,100,4.17,"rain,snow",,,,14.8,52,1041.7,75.7,0.8,,,,,1973-01-06T08:15:08,1973-01-06T16:08:59,0.06,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"03354099999,03534099999,03649099999"
6,"Coventry, England, United Kingdom",1973-01-07,5,4,4.5,4,0.6,2,3.8,95,0.107,100,4.17,rain,,,,15.1,83,,100,5.4,,,,,1973-01-07T08:14:42,1973-01-07T16:10:18,0.1,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"03354099999,03534099999,03649099999"
7,"Coventry, England, United Kingdom",1973-01-08,7.4,2,2.9,7.4,-0.3,2.5,2.2,95.5,0,0,0,,,,,10.1,318.8,,100,1.6,,,,,1973-01-08T08:14:13,1973-01-08T16:11:40,0.14,Overcast,Cloudy skies throughout the day.,cloudy,"03354099999,03534099999,03649099999"
8,"Coventry, England, United Kingdom",1973-01-09,4.1,-0.6,2.2,4.1,-1.6,2.1,1.5,95,0,0,0,,,,,5.6,107.7,,87.9,1.5,,,,,1973-01-09T08:13:40,1973-01-09T16:13:03,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03354099999,03534099999,03649099999"
9,"Coventry, England, United Kingdom",1973-01-10,4.1,3.1,3.7,4.1,0.2,2.7,3,95.5,0,0,0,,,,,12.6,107.3,,98.8,2.3,,,,,1973-01-10T08:13:04,1973-01-10T16:14:29,0.21,Overcast,Cloudy skies throughout the day.,cloudy,"03354099999,03534099999,03649099999"
10,"Coventry, England, United Kingdom",1973-01-11,3.1,3,3.1,0.5,-1.2,-0.1,-0.5,77.8,0,0,0,,,,,19.5,131.1,,100,8,,,,,1973-01-11T08:12:25,1973-01-11T16:15:58,0.24,Overcast,Cloudy skies throughout the day.,cloudy,"03354099999,03534099999,03649099999"
11,"Coventry, England, United Kingdom",1973-01-12,2.1,0.9,1.4,1.1,-3.8,-2.2,-1.3,81.8,0,0,0,,,,,19.3,148.1,,100,6.5,,,,,1973-01-12T08:11:42,1973-01-12T16:17:28,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"03354099999,03534099999,03649099999"
12,"Coventry, England, United Kingdom",1973-01-13,2,-0.9,0.5,-1.9,-5.5,-3.8,-0.2,95.4,0,0,0,,,,,22.2,93.9,1019.7,99.8,1.4,,,,,1973-01-13T08:10:57,1973-01-13T16:19:00,0.31,Overcast,Cloudy skies throughout the day.,cloudy,"03354099999,03534099999,03649099999"
13,"Coventry, England, United Kingdom",1973-01-14,9,2.1,6.1,5.7,-2.4,2,3.8,86.1,0.107,100,4.17,rain,,,,32.3,155.3,1006.5,85.3,14.2,,,,,1973-01-14T08:10:08,1973-01-14T16:20:34,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03354099999,03534099999,03649099999"
14,"Coventry, England, United Kingdom",1973-01-15,6.9,1.9,4.9,2.6,-1.9,0.7,3.1,88.5,1.066,100,4.17,rain,,,,36.3,183.8,,84.3,13.3,,,,,1973-01-15T08:09:16,1973-01-15T16:22:09,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03354099999,03534099999,03649099999"
15,"Coventry, England, United Kingdom",1973-01-16,5.2,-2.7,0.9,5,-4.6,-1.2,-0.5,90.7,0.266,100,4.17,rain,,,,18,197.3,1004.3,37.5,8.2,,,,,1973-01-16T08:08:21,1973-01-16T16:23:47,0.42,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"03354099999,03534099999,03649099999"
16,"Coventry, England, United Kingdom",1973-01-17,1.1,-2.8,-0.4,1.1,-4.5,-2.5,-0.9,96.5,0,0,0,,,,,14.8,2.7,,81.6,0.4,,,,,1973-01-17T08:07:24,1973-01-17T16:25:25,0.45,Partially cloudy,Partly cloudy throughout the day.,fog,"03354099999,03534099999,03649099999"
17,"Coventry, England, United Kingdom",1973-01-18,1.3,-0.1,0.7,1.3,-3.4,-0.9,0.4,98.2,0,0,0,,,,,11.8,75.9,,82.5,0.5,,,,,1973-01-18T08:06:23,1973-01-18T16:27:06,0.5,Partially cloudy,Partly cloudy throughout the day.,fog,"03418599999,03354099999,03534099999,03649099999"
18,"Coventry, England, United Kingdom",1973-01-19,2.1,-1.1,0.7,-2.6,-5.9,-4.2,-0.9,89.3,0.2,100,4.17,"rain,snow",,,,28.7,131.1,1012.5,93.4,3.5,,,,,1973-01-19T08:05:20,1973-01-19T16:28:47,0.52,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,rain,"03354099999,03534099999,03649099999"
19,"Coventry, England, United Kingdom",1973-01-20,3,0.1,1.2,1.1,-6.1,-3.6,0.4,94.4,0.2,100,4.17,"rain,snow",,4.1,,30.4,148.6,,98.6,5.1,,,,,1973-01-20T08:04:14,1973-01-20T16:30:30,0.55,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,rain,"03354099999,03534099999,03649099999"
20,"Coventry, England, United Kingdom",1973-01-21,4.1,-1,1.9,-0.1,-6.2,-2.6,-1.4,79.1,1.598,100,4.17,rain,,6.2,,25.6,230.3,,45.9,26.6,,,,,1973-01-21T08:03:05,1973-01-21T16:32:15,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03354099999,03534099999,03649099999"
21,"Coventry, England, United Kingdom",1973-01-22,6,1,3.6,1.8,-4.2,-0.8,0.4,79.8,0,0,0,,,6.3,,26.2,235.4,,61.2,19.5,,,,,1973-01-22T08:01:53,1973-01-22T16:34:00,0.62,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"03354099999,03534099999,03649099999"
22,"Coventry, England, United Kingdom",1973-01-23,10.8,4,8.1,10.8,-0.6,6,6.9,92.5,0.266,100,4.17,rain,,2,,24.9,218.6,1023.2,98.9,4.9,,,,,1973-01-23T08:00:39,1973-01-23T16:35:46,0.65,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"03354099999,03534099999,03649099999"
23,"Coventry, England, United Kingdom",1973-01-24,10.1,8,9.3,10.1,5.6,7.2,7.4,88,0,0,0,,,,,24.6,242.7,,93.7,11.3,,,,,1973-01-24T07:59:22,1973-01-24T16:37:34,0.68,Overcast,Cloudy skies throughout the day.,cloudy,"03354099999,03534099999,03649099999"
