name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Coventry, England, United Kingdom",2024-05-28,17.8,9.1,13.5,17.8,8.3,13.3,11.9,90.6,3.727,100,62.5,rain,0,0,36.8,17,196.7,1010.3,88.6,33.6,86.7,7.5,3,10,2024-05-28T04:53:14,2024-05-28T21:14:25,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,E7347,EGBB,03647099999,03354099999,03535099999,03534099999,03544099999"
"Coventry, England, United Kingdom",2024-05-29,16.8,11.8,14.1,16.8,11.8,14.1,10.3,78.6,0.919,100,8.33,rain,0,0,31.4,18.6,274.7,1008.1,88.2,35.6,169.6,14.6,10,10,2024-05-29T04:52:16,2024-05-29T21:15:39,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03529099999,E7347,EGBB,03647099999,03354099999,03535099999,03544099999"
"Coventry, England, United Kingdom",2024-05-30,16.1,11.7,13.3,16.1,11.7,13.3,9.9,80.5,2.179,100,45.83,rain,0,0,42.2,27.2,312.9,1011,90.8,31.5,130.4,11.3,10,10,2024-05-30T04:51:19,2024-05-30T21:16:50,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03529099999,E7347,EGBB,03647099999,03354099999,03535099999,03560099999,03544099999"
"Coventry, England, United Kingdom",2024-05-31,15.8,9.8,12.6,15.8,7.4,12.4,8.4,75.7,0.008,100,4.17,rain,0,0,49.3,27.6,347.4,1020.8,65,22.6,93.6,8,4,10,2024-05-31T04:50:26,2024-05-31T21:17:59,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03529099999,E7347,EGBB,03647099999,03354099999,03535099999,EGVN,EGNX,03544099999"
"Coventry, England, United Kingdom",2024-06-01,16.8,8,12.9,16.8,5.5,12.3,7.8,72.3,0,0,0,rain,0,0,36.4,21.9,2.5,1026.7,48.5,9.8,140.6,12.1,5,10,2024-06-01T04:49:36,2024-06-01T21:19:06,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E7347,EGBB,EGVN,EGNX"
"Coventry, England, United Kingdom",2024-06-02,21,6.1,14.4,21,5.1,14.3,8.8,72.7,0,0,0,,0,0,27.7,26.8,322.5,1027.5,21.8,9.5,287.1,24.8,9,10,2024-06-02T04:48:49,2024-06-02T21:20:11,0.85,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"E7347,EGBB,EGVN,EGNX"
"Coventry, England, United Kingdom",2024-06-03,18,11.9,15.2,18,11.9,15.2,11.5,78.4,0,0,0,rain,0,0,27.4,18,318.2,1021.7,72.9,10.6,142.8,12.4,5,10,2024-06-03T04:48:04,2024-06-03T21:21:14,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E7347,EGBB,EGVN,EGNX"
